drift_type,seed,method,episode,phase,return,success,length
goal_shift,0,fixed_random,19,pre,0.0,0.0,60
goal_shift,0,fixed_random,0,post,0.0,0.0,60
goal_shift,0,fixed_random,1,post,0.0,0.0,60
goal_shift,0,fixed_random,2,post,0.0,0.0,60
goal_shift,0,fixed_random,3,post,0.0,0.0,60
goal_shift,0,fixed_random,4,post,0.0,0.0,60
goal_shift,0,fixed_random,5,post,0.0,0.0,60
goal_shift,0,fixed_random,6,post,0.0,0.0,60
goal_shift,0,fixed_random,7,post,0.0,0.0,60
goal_shift,0,fixed_random,8,post,0.0,0.0,60
goal_shift,0,fixed_random,9,post,0.0,0.0,60
goal_shift,0,fixed_random,10,post,0.0,0.0,60
goal_shift,0,fixed_random,11,post,0.0,0.0,60
goal_shift,0,fixed_random,12,post,0.0,0.0,60
goal_shift,0,fixed_random,13,post,0.0,0.0,60
goal_shift,0,fixed_random,14,post,0.0,0.0,60
goal_shift,0,fixed_random,15,post,0.0,0.0,60
goal_shift,0,fixed_random,16,post,0.0,0.0,60
goal_shift,0,fixed_random,17,post,0.0,0.0,60
goal_shift,0,fixed_random,18,post,0.0,0.0,60
goal_shift,0,fixed_random,19,post,0.0,0.0,60
goal_shift,1,fixed_count,0,pre,0.0,0.0,60
goal_shift,1,fixed_count,1,pre,0.0,0.0,60
goal_shift,1,fixed_count,2,pre,0.0,0.0,60
goal_shift,1,fixed_count,3,pre,0.0,0.0,60
goal_shift,1,fixed_count,4,pre,0.0,0.0,60
goal_shift,1,fixed_count,5,pre,0.0,0.0,60
goal_shift,1,fixed_count,6,pre,0.0,0.0,60
goal_shift,1,fixed_count,7,pre,0.0,0.0,60
goal_shift,1,fixed_count,8,pre,0.0,0.0,60
goal_shift,1,fixed_count,9,pre,0.0,0.0,60
goal_shift,1,fixed_count,10,pre,0.0,0.0,60
goal_shift,1,fixed_count,11,pre,0.0,0.0,60
goal_shift,1,fixed_count,12,pre,0.0,0.0,60
goal_shift,1,fixed_count,13,pre,0.0,0.0,60
goal_shift,1,fixed_count,14,pre,0.0,0.0,60
goal_shift,1,fixed_count,15,pre,0.0,0.0,60
goal_shift,1,fixed_count,16,pre,0.0,0.0,60
goal_shift,1,fixed_count,17,pre,0.0,0.0,60
goal_shift,1,fixed_count,18,pre,0.0,0.0,60
goal_shift,1,fixed_count,19,pre,0.0,0.0,60
goal_shift,1,fixed_count,0,post,0.0,0.0,60
goal_shift,1,fixed_count,1,post,0.0,0.0,60
goal_shift,1,fixed_count,2,post,0.0,0.0,60
goal_shift,1,fixed_count,3,post,0.0,0.0,60
goal_shift,1,fixed_count,4,post,0.0,0.0,60
goal_shift,1,fixed_count,5,post,0.0,0.0,60
goal_shift,1,fixed_count,6,post,0.0,0.0,60
goal_shift,1,fixed_count,7,post,0.0,0.0,60
goal_shift,1,fixed_count,8,post,0.0,0.0,60
goal_shift,1,fixed_count,9,post,0.0,0.0,60
goal_shift,1,fixed_count,10,post,0.0,0.0,60
goal_shift,1,fixed_count,11,post,0.0,0.0,60
goal_shift,1,fixed_count,12,post,0.0,0.0,60
goal_shift,1,fixed_count,13,post,0.0,0.0,60
goal_shift,1,fixed_count,14,post,0.0,0.0,60
goal_shift,1,fixed_count,15,post,0.0,0.0,60
goal_shift,1,fixed_count,16,post,0.0,0.0,60
goal_shift,1,fixed_count,17,post,0.0,0.0,60
goal_shift,1,fixed_count,18,post,0.0,0.0,60
goal_shift,1,fixed_count,19,post,0.0,0.0,60
goal_shift,1,time_count,0,pre,0.0,0.0,60
goal_shift,1,time_count,1,pre,0.0,0.0,60
goal_shift,1,time_count,2,pre,0.0,0.0,60
goal_shift,1,time_count,3,pre,0.0,0.0,60
goal_shift,1,time_count,4,pre,0.0,0.0,60
goal_shift,1,time_count,5,pre,0.0,0.0,60
goal_shift,1,time_count,6,pre,0.0,0.0,60
goal_shift,1,time_count,7,pre,0.0,0.0,60
goal_shift,1,time_count,8,pre,0.0,0.0,60
goal_shift,1,time_count,9,pre,0.0,0.0,60
goal_shift,1,time_count,10,pre,0.0,0.0,60
goal_shift,1,time_count,11,pre,0.0,0.0,60
goal_shift,1,time_count,12,pre,0.0,0.0,60
goal_shift,1,time_count,13,pre,0.0,0.0,60
goal_shift,1,time_count,14,pre,0.0,0.0,60
goal_shift,1,time_count,15,pre,0.0,0.0,60
goal_shift,1,time_count,16,pre,0.0,0.0,60
goal_shift,1,time_count,17,pre,0.0,0.0,60
goal_shift,1,time_count,18,pre,0.0,0.0,60
goal_shift,1,time_count,19,pre,0.0,0.0,60
goal_shift,1,time_count,0,post,0.0,0.0,60
goal_shift,1,time_count,1,post,0.0,0.0,60
goal_shift,1,time_count,2,post,0.0,0.0,60
goal_shift,1,time_count,3,post,0.0,0.0,60
goal_shift,1,time_count,4,post,0.0,0.0,60
goal_shift,1,time_count,5,post,0.0,0.0,60
goal_shift,1,time_count,6,post,0.0,0.0,60
goal_shift,1,time_count,7,post,0.0,0.0,60
goal_shift,1,time_count,8,post,0.0,0.0,60
goal_shift,1,time_count,9,post,0.0,0.0,60
goal_shift,1,time_count,10,post,0.0,0.0,60
goal_shift,1,time_count,11,post,0.0,0.0,60
goal_shift,1,time_count,12,post,0.0,0.0,60
goal_shift,1,time_count,13,post,0.0,0.0,60
goal_shift,1,time_count,14,post,0.0,0.0,60
goal_shift,1,time_count,15,post,0.0,0.0,60
goal_shift,1,time_count,16,post,0.0,0.0,60
goal_shift,1,time_count,17,post,0.0,0.0,60
goal_shift,1,time_count,18,post,0.0,0.0,60
goal_shift,1,time_count,19,post,0.0,0.0,60
goal_shift,1,fixed_random,0,pre,0.0,0.0,60
goal_shift,1,fixed_random,1,pre,0.0,0.0,60
goal_shift,1,fixed_random,2,pre,0.0,0.0,60
goal_shift,1,fixed_random,3,pre,0.0,0.0,60
goal_shift,1,fixed_random,4,pre,0.0,0.0,60
goal_shift,1,fixed_random,5,pre,0.0,0.0,60
goal_shift,1,fixed_random,6,pre,0.0,0.0,60
goal_shift,1,fixed_random,7,pre,0.0,0.0,60
goal_shift,1,fixed_random,8,pre,0.0,0.0,60
goal_shift,1,fixed_random,9,pre,0.0,0.0,60
goal_shift,1,fixed_random,10,pre,0.0,0.0,60
goal_shift,1,fixed_random,11,pre,0.0,0.0,60
goal_shift,1,fixed_random,12,pre,0.0,0.0,60
goal_shift,1,fixed_random,13,pre,0.0,0.0,60
goal_shift,1,fixed_random,14,pre,0.0,0.0,60
goal_shift,1,fixed_random,15,pre,0.0,0.0,60
goal_shift,1,fixed_random,16,pre,0.0,0.0,60
goal_shift,1,fixed_random,17,pre,0.0,0.0,60
goal_shift,1,fixed_random,18,pre,0.0,0.0,60
goal_shift,1,fixed_random,19,pre,0.0,0.0,60
goal_shift,1,fixed_random,0,post,0.0,0.0,60
goal_shift,1,fixed_random,1,post,0.0,0.0,60
goal_shift,1,fixed_random,2,post,0.0,0.0,60
goal_shift,1,fixed_random,3,post,0.0,0.0,60
goal_shift,1,fixed_random,4,post,0.0,0.0,60
goal_shift,1,fixed_random,5,post,0.0,0.0,60
goal_shift,1,fixed_random,6,post,0.0,0.0,60
goal_shift,1,fixed_random,7,post,0.0,0.0,60
goal_shift,1,fixed_random,8,post,0.0,0.0,60
goal_shift,1,fixed_random,9,post,0.0,0.0,60
goal_shift,1,fixed_random,10,post,0.0,0.0,60
goal_shift,1,fixed_random,11,post,0.0,0.0,60
goal_shift,1,fixed_random,12,post,0.0,0.0,60
goal_shift,1,fixed_random,13,post,0.0,0.0,60
goal_shift,1,fixed_random,14,post,0.0,0.0,60
goal_shift,1,fixed_random,15,post,0.0,0.0,60
goal_shift,1,fixed_random,16,post,0.0,0.0,60
goal_shift,1,fixed_random,17,post,0.0,0.0,60
goal_shift,1,fixed_random,18,post,0.0,0.0,60
goal_shift,1,fixed_random,19,post,0.0,0.0,60
goal_shift,2,fixed_count,0,pre,0.0,0.0,60
goal_shift,2,fixed_count,1,pre,0.0,0.0,60
goal_shift,2,fixed_count,2,pre,0.0,0.0,60
goal_shift,2,fixed_count,3,pre,0.0,0.0,60
goal_shift,2,fixed_count,4,pre,0.0,0.0,60
goal_shift,2,fixed_count,5,pre,0.0,0.0,60
goal_shift,2,fixed_count,6,pre,0.0,0.0,60
goal_shift,2,fixed_count,7,pre,0.0,0.0,60
goal_shift,2,fixed_count,8,pre,0.0,0.0,60
goal_shift,2,fixed_count,9,pre,0.0,0.0,60
goal_shift,2,fixed_count,10,pre,0.0,0.0,60
goal_shift,2,fixed_count,11,pre,0.0,0.0,60
goal_shift,2,fixed_count,12,pre,0.0,0.0,60
goal_shift,2,fixed_count,13,pre,0.0,0.0,60
goal_shift,2,fixed_count,14,pre,0.0,0.0,60
goal_shift,2,fixed_count,15,pre,0.0,0.0,60
goal_shift,2,fixed_count,16,pre,0.0,0.0,60
goal_shift,2,fixed_count,17,pre,0.0,0.0,60
goal_shift,2,fixed_count,18,pre,0.0,0.0,60
goal_shift,2,fixed_count,19,pre,0.0,0.0,60
goal_shift,2,fixed_count,0,post,0.0,0.0,60
goal_shift,2,fixed_count,1,post,0.0,0.0,60
goal_shift,2,fixed_count,2,post,0.0,0.0,60
goal_shift,2,fixed_count,3,post,0.0,0.0,60
goal_shift,2,fixed_count,4,post,0.0,0.0,60
goal_shift,2,fixed_count,5,post,0.0,0.0,60
goal_shift,2,fixed_count,6,post,0.0,0.0,60
goal_shift,2,fixed_count,7,post,0.0,0.0,60
goal_shift,2,fixed_count,8,post,0.0,0.0,60
goal_shift,2,fixed_count,9,post,0.0,0.0,60
goal_shift,2,fixed_count,10,post,0.0,0.0,60
goal_shift,2,fixed_count,11,post,0.0,0.0,60
goal_shift,2,fixed_count,12,post,0.0,0.0,60
goal_shift,2,fixed_count,13,post,0.0,0.0,60
goal_shift,2,fixed_count,14,post,0.0,0.0,60
goal_shift,2,fixed_count,15,post,0.0,0.0,60
goal_shift,2,fixed_count,16,post,0.0,0.0,60
goal_shift,2,fixed_count,17,post,0.0,0.0,60
goal_shift,2,fixed_count,18,post,0.0,0.0,60
goal_shift,2,fixed_count,19,post,0.0,0.0,60
goal_shift,2,time_count,0,pre,0.0,0.0,60
goal_shift,2,time_count,1,pre,0.0,0.0,60
goal_shift,2,time_count,2,pre,0.0,0.0,60
goal_shift,2,time_count,3,pre,0.0,0.0,60
goal_shift,2,time_count,4,pre,0.0,0.0,60
goal_shift,2,time_count,5,pre,0.0,0.0,60
goal_shift,2,time_count,6,pre,0.0,0.0,60
goal_shift,2,time_count,7,pre,0.0,0.0,60
goal_shift,2,time_count,8,pre,0.0,0.0,60
goal_shift,2,time_count,9,pre,0.0,0.0,60
goal_shift,2,time_count,10,pre,0.0,0.0,60
goal_shift,2,time_count,11,pre,0.0,0.0,60
goal_shift,2,time_count,12,pre,0.0,0.0,60
goal_shift,2,time_count,13,pre,0.0,0.0,60
goal_shift,2,time_count,14,pre,0.0,0.0,60
goal_shift,2,time_count,15,pre,0.0,0.0,60
goal_shift,2,time_count,16,pre,0.0,0.0,60
goal_shift,2,time_count,17,pre,0.0,0.0,60
goal_shift,2,time_count,18,pre,0.0,0.0,60
goal_shift,2,time_count,19,pre,0.0,0.0,60
goal_shift,2,time_count,0,post,0.0,0.0,60
goal_shift,2,time_count,1,post,0.0,0.0,60
goal_shift,2,time_count,2,post,0.0,0.0,60
goal_shift,2,time_count,3,post,0.0,0.0,60
goal_shift,2,time_count,4,post,0.0,0.0,60
goal_shift,2,time_count,5,post,0.0,0.0,60
goal_shift,2,time_count,6,post,0.0,0.0,60
goal_shift,2,time_count,7,post,0.0,0.0,60
goal_shift,2,time_count,8,post,0.0,0.0,60
goal_shift,2,time_count,9,post,0.0,0.0,60
goal_shift,2,time_count,10,post,0.0,0.0,60
goal_shift,2,time_count,11,post,0.0,0.0,60
goal_shift,2,time_count,12,post,0.0,0.0,60
goal_shift,2,time_count,13,post,0.0,0.0,60
goal_shift,2,time_count,14,post,0.0,0.0,60
goal_shift,2,time_count,15,post,0.0,0.0,60
goal_shift,2,time_count,16,post,0.0,0.0,60
goal_shift,2,time_count,17,post,0.0,0.0,60
goal_shift,2,time_count,18,post,0.0,0.0,60
goal_shift,2,time_count,19,post,0.0,0.0,60
goal_shift,2,fixed_random,0,pre,0.0,0.0,60
goal_shift,2,fixed_random,1,pre,0.0,0.0,60
goal_shift,2,fixed_random,2,pre,0.0,0.0,60
goal_shift,2,fixed_random,3,pre,0.0,0.0,60
goal_shift,2,fixed_random,4,pre,0.0,0.0,60
goal_shift,2,fixed_random,5,pre,0.0,0.0,60
goal_shift,2,fixed_random,6,pre,0.0,0.0,60
goal_shift,2,fixed_random,7,pre,0.0,0.0,60
goal_shift,2,fixed_random,8,pre,0.0,0.0,60
goal_shift,2,fixed_random,9,pre,0.0,0.0,60
goal_shift,2,fixed_random,10,pre,0.0,0.0,60
goal_shift,2,fixed_random,11,pre,0.0,0.0,60
goal_shift,2,fixed_random,12,pre,0.0,0.0,60
goal_shift,2,fixed_random,13,pre,0.0,0.0,60
goal_shift,2,fixed_random,14,pre,0.0,0.0,60
goal_shift,2,fixed_random,15,pre,0.0,0.0,60
goal_shift,2,fixed_random,16,pre,0.0,0.0,60
goal_shift,2,fixed_random,17,pre,0.0,0.0,60
goal_shift,2,fixed_random,18,pre,0.0,0.0,60
goal_shift,2,fixed_random,19,pre,0.0,0.0,60
goal_shift,2,fixed_random,0,post,0.0,0.0,60
goal_shift,2,fixed_random,1,post,0.0,0.0,60
goal_shift,2,fixed_random,2,post,0.0,0.0,60
goal_shift,2,fixed_random,3,post,0.0,0.0,60
goal_shift,2,fixed_random,4,post,0.0,0.0,60
goal_shift,2,fixed_random,5,post,0.0,0.0,60
goal_shift,2,fixed_random,6,post,0.0,0.0,60
goal_shift,2,fixed_random,7,post,0.0,0.0,60
goal_shift,2,fixed_random,8,post,0.0,0.0,60
goal_shift,2,fixed_random,9,post,0.0,0.0,60
goal_shift,2,fixed_random,10,post,0.0,0.0,60
goal_shift,2,fixed_random,11,post,0.0,0.0,60
goal_shift,2,fixed_random,12,post,0.0,0.0,60
goal_shift,2,fixed_random,13,post,0.0,0.0,60
goal_shift,2,fixed_random,14,post,0.0,0.0,60
goal_shift,2,fixed_random,15,post,0.0,0.0,60
goal_shift,2,fixed_random,16,post,0.0,0.0,60
goal_shift,2,fixed_random,17,post,0.0,0.0,60
goal_shift,2,fixed_random,18,post,0.0,0.0,60
goal_shift,2,fixed_random,19,post,0.0,0.0,60
goal_shift,3,fixed_count,0,pre,0.0,0.0,60
goal_shift,3,fixed_count,1,pre,0.0,0.0,60
goal_shift,3,fixed_count,2,pre,0.0,0.0,60
goal_shift,3,fixed_count,3,pre,0.0,0.0,60
goal_shift,3,fixed_count,4,pre,0.0,0.0,60
goal_shift,3,fixed_count,5,pre,0.0,0.0,60
goal_shift,3,fixed_count,6,pre,0.0,0.0,60
goal_shift,3,fixed_count,7,pre,0.0,0.0,60
goal_shift,3,fixed_count,8,pre,0.0,0.0,60
goal_shift,3,fixed_count,9,pre,0.0,0.0,60
goal_shift,3,fixed_count,10,pre,0.0,0.0,60
goal_shift,3,fixed_count,11,pre,0.0,0.0,60
goal_shift,3,fixed_count,12,pre,0.0,0.0,60
goal_shift,3,fixed_count,13,pre,0.0,0.0,60
goal_shift,3,fixed_count,14,pre,0.0,0.0,60
goal_shift,3,fixed_count,15,pre,0.0,0.0,60
goal_shift,3,fixed_count,16,pre,0.0,0.0,60
goal_shift,3,fixed_count,17,pre,0.0,0.0,60
goal_shift,3,fixed_count,18,pre,0.0,0.0,60
goal_shift,3,fixed_count,19,pre,0.0,0.0,60
goal_shift,3,fixed_count,0,post,0.0,0.0,60
goal_shift,3,fixed_count,1,post,0.0,0.0,60
goal_shift,3,fixed_count,2,post,0.0,0.0,60
goal_shift,3,fixed_count,3,post,0.0,0.0,60
goal_shift,3,fixed_count,4,post,0.0,0.0,60
goal_shift,3,fixed_count,5,post,0.0,0.0,60
goal_shift,3,fixed_count,6,post,0.0,0.0,60
goal_shift,3,fixed_count,7,post,0.0,0.0,60
goal_shift,3,fixed_count,8,post,0.0,0.0,60
goal_shift,3,fixed_count,9,post,0.0,0.0,60
goal_shift,3,fixed_count,10,post,0.0,0.0,60
goal_shift,3,fixed_count,11,post,0.0,0.0,60
goal_shift,3,fixed_count,12,post,0.0,0.0,60
goal_shift,3,fixed_count,13,post,0.0,0.0,60
goal_shift,3,fixed_count,14,post,0.0,0.0,60
goal_shift,3,fixed_count,15,post,0.0,0.0,60
goal_shift,3,fixed_count,16,post,0.0,0.0,60
goal_shift,3,fixed_count,17,post,0.0,0.0,60
goal_shift,3,fixed_count,18,post,0.0,0.0,60
goal_shift,3,fixed_count,19,post,0.0,0.0,60
goal_shift,3,time_count,0,pre,0.0,0.0,60
goal_shift,3,time_count,1,pre,0.0,0.0,60
goal_shift,3,time_count,2,pre,0.0,0.0,60
goal_shift,3,time_count,3,pre,0.0,0.0,60
goal_shift,3,time_count,4,pre,0.0,0.0,60
goal_shift,3,time_count,5,pre,0.0,0.0,60
goal_shift,3,time_count,6,pre,0.0,0.0,60
goal_shift,3,time_count,7,pre,0.0,0.0,60
goal_shift,3,time_count,8,pre,0.0,0.0,60
goal_shift,3,time_count,9,pre,0.0,0.0,60
goal_shift,3,time_count,10,pre,0.0,0.0,60
goal_shift,3,time_count,11,pre,0.0,0.0,60
goal_shift,3,time_count,12,pre,0.0,0.0,60
goal_shift,3,time_count,13,pre,0.0,0.0,60
goal_shift,3,time_count,14,pre,0.0,0.0,60
goal_shift,3,time_count,15,pre,0.0,0.0,60
goal_shift,3,time_count,16,pre,0.0,0.0,60
goal_shift,3,time_count,17,pre,0.0,0.0,60
goal_shift,3,time_count,18,pre,0.0,0.0,60
goal_shift,3,time_count,19,pre,0.0,0.0,60
goal_shift,3,time_count,0,post,0.0,0.0,60
goal_shift,3,time_count,1,post,0.0,0.0,60
goal_shift,3,time_count,2,post,0.0,0.0,60
goal_shift,3,time_count,3,post,0.0,0.0,60
goal_shift,3,time_count,4,post,0.0,0.0,60
goal_shift,3,time_count,5,post,0.0,0.0,60
goal_shift,3,time_count,6,post,0.0,0.0,60
goal_shift,3,time_count,7,post,0.0,0.0,60
goal_shift,3,time_count,8,post,0.0,0.0,60
goal_shift,3,time_count,9,post,0.0,0.0,60
goal_shift,3,time_count,10,post,0.0,0.0,60
goal_shift,3,time_count,11,post,0.0,0.0,60
goal_shift,3,time_count,12,post,0.0,0.0,60
goal_shift,3,time_count,13,post,0.0,0.0,60
goal_shift,3,time_count,14,post,0.0,0.0,60
goal_shift,3,time_count,15,post,0.0,0.0,60
goal_shift,3,time_count,16,post,0.0,0.0,60
goal_shift,3,time_count,17,post,0.0,0.0,60
goal_shift,3,time_count,18,post,0.0,0.0,60
goal_shift,3,time_count,19,post,0.0,0.0,60
goal_shift,3,fixed_random,0,pre,0.0,0.0,60
goal_shift,3,fixed_random,1,pre,0.0,0.0,60
goal_shift,3,fixed_random,2,pre,0.0,0.0,60
goal_shift,3,fixed_random,3,pre,0.0,0.0,60
goal_shift,3,fixed_random,4,pre,0.0,0.0,60
goal_shift,3,fixed_random,5,pre,0.0,0.0,60
goal_shift,3,fixed_random,6,pre,0.0,0.0,60
goal_shift,3,fixed_random,7,pre,0.0,0.0,60
goal_shift,3,fixed_random,8,pre,0.0,0.0,60
goal_shift,3,fixed_random,9,pre,0.0,0.0,60
goal_shift,3,fixed_random,10,pre,0.0,0.0,60
goal_shift,3,fixed_random,11,pre,0.0,0.0,60
goal_shift,3,fixed_random,12,pre,0.0,0.0,60
goal_shift,3,fixed_random,13,pre,0.0,0.0,60
goal_shift,3,fixed_random,14,pre,0.0,0.0,60
goal_shift,3,fixed_random,15,pre,0.0,0.0,60
goal_shift,3,fixed_random,16,pre,0.0,0.0,60
goal_shift,3,fixed_random,17,pre,0.0,0.0,60
goal_shift,3,fixed_random,18,pre,0.0,0.0,60
goal_shift,3,fixed_random,19,pre,0.0,0.0,60
goal_shift,3,fixed_random,0,post,0.0,0.0,60
goal_shift,3,fixed_random,1,post,0.0,0.0,60
goal_shift,3,fixed_random,2,post,0.0,0.0,60
goal_shift,3,fixed_random,3,post,0.0,0.0,60
goal_shift,3,fixed_random,4,post,0.0,0.0,60
goal_shift,3,fixed_random,5,post,0.0,0.0,60
goal_shift,3,fixed_random,6,post,0.0,0.0,60
goal_shift,3,fixed_random,7,post,0.0,0.0,60
goal_shift,3,fixed_random,8,post,0.0,0.0,60
goal_shift,3,fixed_random,9,post,0.0,0.0,60
goal_shift,3,fixed_random,10,post,0.0,0.0,60
goal_shift,3,fixed_random,11,post,0.0,0.0,60
goal_shift,3,fixed_random,12,post,0.0,0.0,60
goal_shift,3,fixed_random,13,post,0.0,0.0,60
goal_shift,3,fixed_random,14,post,0.0,0.0,60
goal_shift,3,fixed_random,15,post,0.0,0.0,60
goal_shift,3,fixed_random,16,post,0.0,0.0,60
goal_shift,3,fixed_random,17,post,0.0,0.0,60
goal_shift,3,fixed_random,18,post,0.0,0.0,60
goal_shift,3,fixed_random,19,post,0.0,0.0,60
goal_shift,4,fixed_count,0,pre,0.0,0.0,60
goal_shift,4,fixed_count,1,pre,0.0,0.0,60
goal_shift,4,fixed_count,2,pre,0.0,0.0,60
goal_shift,4,fixed_count,3,pre,0.0,0.0,60
goal_shift,4,fixed_count,4,pre,0.0,0.0,60
goal_shift,4,fixed_count,5,pre,0.0,0.0,60
goal_shift,4,fixed_count,6,pre,0.0,0.0,60
goal_shift,4,fixed_count,7,pre,0.0,0.0,60
goal_shift,4,fixed_count,8,pre,0.0,0.0,60
goal_shift,4,fixed_count,9,pre,0.0,0.0,60
goal_shift,4,fixed_count,10,pre,0.0,0.0,60
goal_shift,4,fixed_count,11,pre,0.0,0.0,60
goal_shift,4,fixed_count,12,pre,0.0,0.0,60
goal_shift,4,fixed_count,13,pre,0.0,0.0,60
goal_shift,4,fixed_count,14,pre,0.0,0.0,60
goal_shift,4,fixed_count,15,pre,0.0,0.0,60
goal_shift,4,fixed_count,16,pre,0.0,0.0,60
goal_shift,4,fixed_count,17,pre,0.0,0.0,60
goal_shift,4,fixed_count,18,pre,0.0,0.0,60
goal_shift,4,fixed_count,19,pre,0.0,0.0,60
